dataset,path,relative_path,file_name,actor_id,actor_folder,split,inferred_gender,emotion_code,emotion,modality,vocal_channel,intensity,statement,repetition,size_bytes
ravdess,github/ravdess/Actor_01/01-01-01-01-01-01-01.mp4,ravdess/Actor_01/01-01-01-01-01-01-01.mp4,01-01-01-01-01-01-01.mp4,1,Actor_01,test,male,01,neutral,audio_video,speech,normal,01,01,3447715
ravdess,github/ravdess/Actor_01/01-01-01-01-01-02-01.mp4,ravdess/Actor_01/01-01-01-01-01-02-01.mp4,01-01-01-01-01-02-01.mp4,1,Actor_01,test,male,01,neutral,audio_video,speech,normal,01,02,3566435
ravdess,github/ravdess/Actor_01/01-01-01-01-02-01-01.mp4,ravdess/Actor_01/01-01-01-01-02-01-01.mp4,01-01-01-01-02-01-01.mp4,1,Actor_01,test,male,01,neutral,audio_video,speech,normal,02,01,4167725
ravdess,github/ravdess/Actor_01/01-01-01-01-02-02-01.mp4,ravdess/Actor_01/01-01-01-01-02-02-01.mp4,01-01-01-01-02-02-01.mp4,1,Actor_01,test,male,01,neutral,audio_video,speech,normal,02,02,4053055
ravdess,github/ravdess/Actor_01/01-01-02-01-01-01-01.mp4,ravdess/Actor_01/01-01-02-01-01-01-01.mp4,01-01-02-01-01-01-01.mp4,1,Actor_01,test,male,02,calm,audio_video,speech,normal,01,01,4488488
ravdess,github/ravdess/Actor_01/01-01-02-01-01-02-01.mp4,ravdess/Actor_01/01-01-02-01-01-02-01.mp4,01-01-02-01-01-02-01.mp4,1,Actor_01,test,male,02,calm,audio_video,speech,normal,01,02,4571678
ravdess,github/ravdess/Actor_01/01-01-02-01-02-01-01.mp4,ravdess/Actor_01/01-01-02-01-02-01-01.mp4,01-01-02-01-02-01-01.mp4,1,Actor_01,test,male,02,calm,audio_video,speech,normal,02,01,4450793
ravdess,github/ravdess/Actor_01/01-01-02-01-02-02-01.mp4,ravdess/Actor_01/01-01-02-01-02-02-01.mp4,01-01-02-01-02-02-01.mp4,1,Actor_01,test,male,02,calm,audio_video,speech,normal,02,02,4408274
ravdess,github/ravdess/Actor_01/01-01-02-02-01-01-01.mp4,ravdess/Actor_01/01-01-02-02-01-01-01.mp4,01-01-02-02-01-01-01.mp4,1,Actor_01,test,male,02,calm,audio_video,speech,strong,01,01,4699983
ravdess,github/ravdess/Actor_01/01-01-02-02-01-02-01.mp4,ravdess/Actor_01/01-01-02-02-01-02-01.mp4,01-01-02-02-01-02-01.mp4,1,Actor_01,test,male,02,calm,audio_video,speech,strong,01,02,5121739
ravdess,github/ravdess/Actor_01/01-01-02-02-02-01-01.mp4,ravdess/Actor_01/01-01-02-02-02-01-01.mp4,01-01-02-02-02-01-01.mp4,1,Actor_01,test,male,02,calm,audio_video,speech,strong,02,01,5354666
ravdess,github/ravdess/Actor_01/01-01-02-02-02-02-01.mp4,ravdess/Actor_01/01-01-02-02-02-02-01.mp4,01-01-02-02-02-02-01.mp4,1,Actor_01,test,male,02,calm,audio_video,speech,strong,02,02,5121292
ravdess,github/ravdess/Actor_01/01-01-03-01-01-01-01.mp4,ravdess/Actor_01/01-01-03-01-01-01-01.mp4,01-01-03-01-01-01-01.mp4,1,Actor_01,test,male,03,happy,audio_video,speech,normal,01,01,4413819
ravdess,github/ravdess/Actor_01/01-01-03-01-01-02-01.mp4,ravdess/Actor_01/01-01-03-01-01-02-01.mp4,01-01-03-01-01-02-01.mp4,1,Actor_01,test,male,03,happy,audio_video,speech,normal,01,02,4413212
ravdess,github/ravdess/Actor_01/01-01-03-01-02-01-01.mp4,ravdess/Actor_01/01-01-03-01-02-01-01.mp4,01-01-03-01-02-01-01.mp4,1,Actor_01,test,male,03,happy,audio_video,speech,normal,02,01,4488688
ravdess,github/ravdess/Actor_01/01-01-03-01-02-02-01.mp4,ravdess/Actor_01/01-01-03-01-02-02-01.mp4,01-01-03-01-02-02-01.mp4,1,Actor_01,test,male,03,happy,audio_video,speech,normal,02,02,4701468
ravdess,github/ravdess/Actor_01/01-01-03-02-01-01-01.mp4,ravdess/Actor_01/01-01-03-02-01-01-01.mp4,01-01-03-02-01-01-01.mp4,1,Actor_01,test,male,03,happy,audio_video,speech,strong,01,01,4664999
